parent_id,id,remote_id,path_string,keyword_it,keyword_de,keyword_pa,keyword_en,synonyms_it,synonyms_de,synonyms_pa,synonyms_en,description_it,description_de,description_en,hash
0,1,478bbddb15920c6e35d12d5c0347a597,/2486/,"Tipi di notizia",,,,,,,,,,,
1,2,dde18cc8e58fc6f3ce4853a4bf81250d,/2486/2487/,News,"Neues aus dem Rathaus",,News,Notizia,,,,,,,
1,3,0a2f56dad9809dcd2a145c83d1909a15,/2486/2489/,"Comunicato stampa",Pressemitteilung,,"Press release",,,,,,,,
1,4,8523689cfed3204b694405209f5b8dc2,/2486/2490/,Avviso,"Wichtige Bekanntmachung",,Notice,,,,,,,,
